component_name,unit_name,operand_name,current_state,event_type,route_path,http_method,next_state,description
catalog,workflow,register,REQUESTED,CatalogRegisterRegistered,/catalog/register,POST,REGISTERED,Register Catalog for workflow from REQUESTED to REGISTERED
catalog,workflow,register,REQUESTED,CatalogRegisterCanceled,/catalog/register,POST,CANCELED,Register Catalog for workflow from REQUESTED to CANCELED
catalog,workflow,register,REGISTERED,CatalogRegisterStarted,/catalog/register,POST,STARTED,Register Catalog for workflow from REGISTERED to STARTED
catalog,workflow,register,REGISTERED,CatalogRegisterCanceled,/catalog/register,POST,CANCELED,Register Catalog for workflow from REGISTERED to CANCELED
catalog,workflow,register,STARTED,CatalogRegisterFailed,/catalog/register,POST,FAILED,Register Catalog for workflow from STARTED to FAILED
catalog,workflow,register,STARTED,CatalogRegisterCompleted,/catalog/register,POST,COMPLETED,Register Catalog for workflow from STARTED to COMPLETED
catalog,workflow,register,STARTED,CatalogRegisterTerminated,/catalog/register,POST,TERMINATED,Register Catalog for workflow from STARTED to TERMINATED
catalog,workflow,register,STARTED,CatalogRegisterPaused,/catalog/register,POST,PAUSED,Register Catalog for workflow from STARTED to PAUSED
catalog,workflow,register,FAILED,CatalogRegisterRestarted,/catalog/register,POST,RESTARTED,Register Catalog for workflow from FAILED to RESTARTED
catalog,workflow,register,TERMINATED,CatalogRegisterRestarted,/catalog/register,POST,RESTARTED,Register Catalog for workflow from TERMINATED to RESTARTED
catalog,workflow,register,PAUSED,CatalogRegisterCompleted,/catalog/register,POST,COMPLETED,Register Catalog for workflow from PAUSED to COMPLETED
catalog,workflow,register,PAUSED,CatalogRegisterTerminated,/catalog/register,POST,TERMINATED,Register Catalog for workflow from PAUSED to TERMINATED
catalog,workflow,register,PAUSED,CatalogRegisterContinued,/catalog/register,POST,CONTINUED,Register Catalog for workflow from PAUSED to CONTINUED
catalog,workflow,register,CONTINUED,CatalogRegisterFailed,/catalog/register,POST,FAILED,Register Catalog for workflow from CONTINUED to FAILED
catalog,workflow,register,CONTINUED,CatalogRegisterCompleted,/catalog/register,POST,COMPLETED,Register Catalog for workflow from CONTINUED to COMPLETED
catalog,workflow,register,CONTINUED,CatalogRegisterTerminated,/catalog/register,POST,TERMINATED,Register Catalog for workflow from CONTINUED to TERMINATED
catalog,workflow,register,CONTINUED,CatalogRegisterPaused,/catalog/register,POST,PAUSED,Register Catalog for workflow from CONTINUED to PAUSED
catalog,workflow,register,RESTARTED,CatalogRegisterFailed,/catalog/register,POST,FAILED,Register Catalog for workflow from RESTARTED to FAILED
catalog,workflow,register,RESTARTED,CatalogRegisterCompleted,/catalog/register,POST,COMPLETED,Register Catalog for workflow from RESTARTED to COMPLETED
catalog,workflow,register,RESTARTED,CatalogRegisterTerminated,/catalog/register,POST,TERMINATED,Register Catalog for workflow from RESTARTED to TERMINATED
catalog,workflow,register,RESTARTED,CatalogRegisterPaused,/catalog/register,POST,PAUSED,Register Catalog for workflow from RESTARTED to PAUSED
catalog,workflow,register,RESTARTED,CatalogRegisterContinued,/catalog/register,POST,CONTINUED,Register Catalog for workflow from RESTARTED to CONTINUED
catalog,step,register,REQUESTED,CatalogRegisterRegistered,/catalog/register,POST,REGISTERED,Register Catalog for step from REQUESTED to REGISTERED
catalog,step,register,REQUESTED,CatalogRegisterCanceled,/catalog/register,POST,CANCELED,Register Catalog for step from REQUESTED to CANCELED
catalog,step,register,REGISTERED,CatalogRegisterStarted,/catalog/register,POST,STARTED,Register Catalog for step from REGISTERED to STARTED
catalog,step,register,REGISTERED,CatalogRegisterCanceled,/catalog/register,POST,CANCELED,Register Catalog for step from REGISTERED to CANCELED
catalog,step,register,STARTED,CatalogRegisterFailed,/catalog/register,POST,FAILED,Register Catalog for step from STARTED to FAILED
catalog,step,register,STARTED,CatalogRegisterCompleted,/catalog/register,POST,COMPLETED,Register Catalog for step from STARTED to COMPLETED
catalog,step,register,STARTED,CatalogRegisterTerminated,/catalog/register,POST,TERMINATED,Register Catalog for step from STARTED to TERMINATED
catalog,step,register,STARTED,CatalogRegisterPaused,/catalog/register,POST,PAUSED,Register Catalog for step from STARTED to PAUSED
catalog,step,register,FAILED,CatalogRegisterRestarted,/catalog/register,POST,RESTARTED,Register Catalog for step from FAILED to RESTARTED
catalog,step,register,TERMINATED,CatalogRegisterRestarted,/catalog/register,POST,RESTARTED,Register Catalog for step from TERMINATED to RESTARTED
catalog,step,register,PAUSED,CatalogRegisterCompleted,/catalog/register,POST,COMPLETED,Register Catalog for step from PAUSED to COMPLETED
catalog,step,register,PAUSED,CatalogRegisterTerminated,/catalog/register,POST,TERMINATED,Register Catalog for step from PAUSED to TERMINATED
catalog,step,register,PAUSED,CatalogRegisterContinued,/catalog/register,POST,CONTINUED,Register Catalog for step from PAUSED to CONTINUED
catalog,step,register,CONTINUED,CatalogRegisterFailed,/catalog/register,POST,FAILED,Register Catalog for step from CONTINUED to FAILED
catalog,step,register,CONTINUED,CatalogRegisterCompleted,/catalog/register,POST,COMPLETED,Register Catalog for step from CONTINUED to COMPLETED
catalog,step,register,CONTINUED,CatalogRegisterTerminated,/catalog/register,POST,TERMINATED,Register Catalog for step from CONTINUED to TERMINATED
catalog,step,register,CONTINUED,CatalogRegisterPaused,/catalog/register,POST,PAUSED,Register Catalog for step from CONTINUED to PAUSED
catalog,step,register,RESTARTED,CatalogRegisterFailed,/catalog/register,POST,FAILED,Register Catalog for step from RESTARTED to FAILED
catalog,step,register,RESTARTED,CatalogRegisterCompleted,/catalog/register,POST,COMPLETED,Register Catalog for step from RESTARTED to COMPLETED
catalog,step,register,RESTARTED,CatalogRegisterTerminated,/catalog/register,POST,TERMINATED,Register Catalog for step from RESTARTED to TERMINATED
catalog,step,register,RESTARTED,CatalogRegisterPaused,/catalog/register,POST,PAUSED,Register Catalog for step from RESTARTED to PAUSED
catalog,step,register,RESTARTED,CatalogRegisterContinued,/catalog/register,POST,CONTINUED,Register Catalog for step from RESTARTED to CONTINUED
catalog,task,register,REQUESTED,CatalogRegisterRegistered,/catalog/register,POST,REGISTERED,Register Catalog for task from REQUESTED to REGISTERED
catalog,task,register,REQUESTED,CatalogRegisterCanceled,/catalog/register,POST,CANCELED,Register Catalog for task from REQUESTED to CANCELED
catalog,task,register,REGISTERED,CatalogRegisterStarted,/catalog/register,POST,STARTED,Register Catalog for task from REGISTERED to STARTED
catalog,task,register,REGISTERED,CatalogRegisterCanceled,/catalog/register,POST,CANCELED,Register Catalog for task from REGISTERED to CANCELED
catalog,task,register,STARTED,CatalogRegisterFailed,/catalog/register,POST,FAILED,Register Catalog for task from STARTED to FAILED
catalog,task,register,STARTED,CatalogRegisterCompleted,/catalog/register,POST,COMPLETED,Register Catalog for task from STARTED to COMPLETED
catalog,task,register,STARTED,CatalogRegisterTerminated,/catalog/register,POST,TERMINATED,Register Catalog for task from STARTED to TERMINATED
catalog,task,register,STARTED,CatalogRegisterPaused,/catalog/register,POST,PAUSED,Register Catalog for task from STARTED to PAUSED
catalog,task,register,FAILED,CatalogRegisterRestarted,/catalog/register,POST,RESTARTED,Register Catalog for task from FAILED to RESTARTED
catalog,task,register,TERMINATED,CatalogRegisterRestarted,/catalog/register,POST,RESTARTED,Register Catalog for task from TERMINATED to RESTARTED
catalog,task,register,PAUSED,CatalogRegisterCompleted,/catalog/register,POST,COMPLETED,Register Catalog for task from PAUSED to COMPLETED
catalog,task,register,PAUSED,CatalogRegisterTerminated,/catalog/register,POST,TERMINATED,Register Catalog for task from PAUSED to TERMINATED
catalog,task,register,PAUSED,CatalogRegisterContinued,/catalog/register,POST,CONTINUED,Register Catalog for task from PAUSED to CONTINUED
catalog,task,register,CONTINUED,CatalogRegisterFailed,/catalog/register,POST,FAILED,Register Catalog for task from CONTINUED to FAILED
catalog,task,register,CONTINUED,CatalogRegisterCompleted,/catalog/register,POST,COMPLETED,Register Catalog for task from CONTINUED to COMPLETED
catalog,task,register,CONTINUED,CatalogRegisterTerminated,/catalog/register,POST,TERMINATED,Register Catalog for task from CONTINUED to TERMINATED
catalog,task,register,CONTINUED,CatalogRegisterPaused,/catalog/register,POST,PAUSED,Register Catalog for task from CONTINUED to PAUSED
catalog,task,register,RESTARTED,CatalogRegisterFailed,/catalog/register,POST,FAILED,Register Catalog for task from RESTARTED to FAILED
catalog,task,register,RESTARTED,CatalogRegisterCompleted,/catalog/register,POST,COMPLETED,Register Catalog for task from RESTARTED to COMPLETED
catalog,task,register,RESTARTED,CatalogRegisterTerminated,/catalog/register,POST,TERMINATED,Register Catalog for task from RESTARTED to TERMINATED
catalog,task,register,RESTARTED,CatalogRegisterPaused,/catalog/register,POST,PAUSED,Register Catalog for task from RESTARTED to PAUSED
