from_state,to_state,description,active
REQUESTED,REGISTERED,,true
REQUESTED,CANCELED,,true
REGISTERED,STARTED,,true
REGISTERED,CANCELED,,true
STARTED,FAILED,,true
STARTED,COMPLETED,,true
STARTED,TERMINATED,,true
STARTED,PAUSED,,true
FAILED,RESTARTED,,true
TERMINATED,RESTARTED,,true
PAUSED,COMPLETED,,true
PAUSED,TERMINATED,,true
PAUSED,CONTINUED,,true
CONTINUED,FAILED,,true
CONTINUED,COMPLETED,,true
CONTINUED,TERMINATED,,true
CONTINUED,PAUSED,,true
RESTARTED,FAILED,,true
RESTARTED,COMPLETED,,true
RESTARTED,TERMINATED,,true
RESTARTED,PAUSED,,true
RESTARTED,CONTINUED,,true
